code,name_full,name_short,name_abbrev,principal_activities,industry_group_name,sector_name,listing_date,delisting_date,web_address,mailing_address,phone_number,fax_number,registry_name,registry_address,registry_phone_number,foreign_exempt,logo_image_url,primary_share_code,recent_announcement,products,latest_annual_reports_id,latest_annual_reports_release_date,latest_annual_reports_document_date,latest_annual_reports_url,latest_annual_reports_title,is_latest_annual_reports_market_sensitive,latest_annual_reports_no_of_pages,isin_code,product_desc,last_price,open_price,day_high_price,day_low_price,change_price,change_in_percent,volume,bid_price,offer_price,previous_close_price,previous_day_percentage_change,year_high_price,year_high_date,year_low_price,year_low_date,last_trade_date,price_to_earning_ratio,earning_per_share,average_daily_volume,annual_dividend_yield,market_cap,number_of_shares,deprecated_market_cap,deprecated_number_of_shares,suspended,indices_index_code,last_dividend_announce_date,last_dividend_ex_date,last_dividend_payable_date,last_dividend_record_date,last_dividend_amount_in_dollars,last_dividend_raw_franked_percentage,last_dividend_type,last_dividend_comments,last_dividend_books_close_date,fundamental_data_date
14D,1414 DEGREES LIMITED,1414DEGREE,1414 DEGREES LIMITED,"Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.",Capital Goods,Industrials,2018-09-12T00:00:00+1000,,http://www.1414degrees.com.au,"10 Greenhill Road, WAYVILLE, SA, AUSTRALIA, 5034",08 8357 8273,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,false,,14D,false,"""shares""",02141333,2019-08-30T14:06:18+1000,2019-08-30T14:01:21+1000,http://www.asx.com.au/asxpdf/20190830/pdf/44827sqvjk52zp.pdf,Appendix 4E & 2019 Annual Report,true,43,AU0000010696,Ordinary Fully Paid,0.165,0.165,0.165,0.165,0.000,0%,38000,0.16,0.165,0.165,6.452%,0.27,2019-08-13T00:00:00+1000,0.06,2020-06-18T00:00:00+1000,2020-08-13T00:00:00+1000,0,-0.0184,388420,0,28541687,172979923,23259000,140964058,false,,,,,,,,,,,2020-08-13 00:00:00.000
1AD,ADALTA LIMITED,ADALTA,ADALTA LIMITED,Drug discovery and development,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2016-08-22T00:00:00+1000,,http://www.adalta.com.au,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",(03) 9479 5159,(02) 8583 3040,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,https://www.asx.com.au/asx/1/image/logo/1AD?image_size=L&v=1471491830000,1AD,false,"""shares""",02140456,2019-08-29T14:12:55+1000,2019-08-29T14:09:44+1000,http://www.asx.com.au/asxpdf/20190829/pdf/4480bvdwfp50ht.pdf,Annual Report to shareholders,false,56,AU0000001AD2,Ordinary Fully Paid,0.105,0.105,0.105,0.105,-0.005,-4.545%,190234,0.105,0.11,0.11,0%,0.178,2019-09-16T00:00:00+1000,0.04,2020-03-25T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0556,518200,0,18034017,163945613,17214000,163945613,false,,,,,,,,,,,2020-08-13 00:00:00.000
1ST,1ST GROUP LIMITED,1ST GROUP,1ST GROUP LTD,"1ST Group is a media and technology company building Australia's leading health services portal, MyHealth1st.com.au, Australia's online pet service portal PetYeti.com.au and corporate and government solutions platform GObookings.com.au.",Health Care Equipment & Services,Health Care,2015-06-09T00:00:00+1000,,http://www.1stgrp.com,"c/- Whittens & McKeough, Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 266 517,+61 2 8072 1440,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,https://www.asx.com.au/asx/1/image/logo/1ST?image_size=L&v=1508716639000,1ST,false,"""shares""",02152486,2019-09-27T17:24:55+1000,2019-09-27T17:20:19+1000,http://www.asx.com.au/asxpdf/20190927/pdf/448yys6tvtg77b.pdf,Annual Report to shareholders,false,62,AU0000001ST0,Ordinary Fully Paid,0.035,0.037,0.038,0.035,-0.001,-2.778%,836725,0.035,0.037,0.036,0%,0.089,2019-11-26T00:00:00+1100,0.018,2020-03-25T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0151,4006898,0,15286209,424616903,14862000,424616903,false,,,,,,,,,,,2020-08-13 00:00:00.000
2BE,TUBI LIMITED,TUBI,TUBI LIMITED,"Manufacture of high density polyethylene pipe for industrial, irrigation, agricultural, mining and oil and gas services industries.",Energy,Energy,2019-06-14T00:00:00+1000,,http://www.tubigroup.com,"2 Hopetoun Street, PADDINGTON, NSW, AUSTRALIA, 2021",(02) 9331 8725,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,2BE,false,"""shares""",02139322,2019-08-28T08:21:32+1000,2019-08-28T08:13:33+1000,http://www.asx.com.au/asxpdf/20190828/pdf/447xwz27b2cppv.pdf,Appendix 4E & Annual Report,true,74,AU0000046799,Ordinary Fully Paid,0.09,0.089,0.091,0.088,0.00,0%,274322,0.09,0.092,0.09,-2.174%,0.349,2019-08-28T00:00:00+1000,0.07,2020-03-31T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0082,163739,0,27371599,304128873,27372000,304128873,false,,,,,,,,,,,2020-08-13 00:00:00.000
360,LIFE360 INC.,LIFE360,LIFE360 INC.,Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,Software & Services,Information Technology,2019-05-10T00:00:00+1000,,http://www.life360.com,"Suite 402, 539 Bryant Street, SAN FRANCISCO, CA, UNITED STATES OF AMERICA, 94107",(209) 581 1772,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,false,,360,false,"""shares""",02207506,2020-02-27T08:24:21+1100,2020-02-27T08:20:01+1100,http://www.asx.com.au/asxpdf/20200227/pdf/44fhtpykhqfzgz.pdf,Appendix 4E and Full Year Statutory Accounts,true,65,AU0000045098,Cdi 3:1 Us Person Prohibited Excluding Qib,3.83,3.85,3.92,3.77,-0.01,-0.26%,81457,3.83,3.92,3.84,-1.285%,3.96,2020-08-07T00:00:00+1000,1.51,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.3989,451622,0,590959169,153895617,566713000,147966906,false,XAO,,,,,,,,,,2020-08-13 00:00:00.000
3DA,AMAERO INTERNATIONAL LTD,AMAEROINT,AMAERO INTERNATIONAL,Additive Manufacturing,Capital Goods,Industrials,2019-12-06T00:00:00+1100,,http://www.amaero.com.au/,"Level 1, Tonsley Boulevard, CLOVELLY PARK, SA, AUSTRALIA, 5042",03 9905 9847,,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,,3DA,false,"""shares""",,,,,,,,AU0000064578,Ordinary Fully Paid,0.22,0.215,0.245,0.215,0.00,0%,1038556,0.215,0.22,0.22,0%,0.485,2019-12-06T00:00:00+1100,0.064,2020-03-23T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.025,306926,0,38467803,174853651,17701000,80457271,false,,,,,,,,,,,2020-08-13 00:00:00.000
3DP,POINTERRA LIMITED,POINTERRA,POINTERRA LIMITED,Cloud-based digital asset management platform for 3D data.  Software as a Service business model.,Software & Services,Information Technology,2008-03-27T00:00:00+1100,,http://www.pointerra.com,"Level 4, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 6268 2622,(08) 6268 2699,ADVANCED SHARE REGISTRY SERVICES,"110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,false,https://www.asx.com.au/asx/1/image/logo/3DP?image_size=L&v=1569574060000,3DP,false,"""shares""",02152589,2019-09-27T18:37:11+1000,2019-09-27T18:33:51+1000,http://www.asx.com.au/asxpdf/20190927/pdf/448z57r45cgj8v.pdf,2019 Annual Report,false,44,AU0000003DP6,Ordinary Fully Paid,0.245,0.225,0.245,0.22,0.020,8.889%,3149436,0.24,0.245,0.225,-2.174%,0.255,2020-08-11T00:00:00+1000,0.015,2020-03-19T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0036,3773807,0,150118450,667193112,163462000,667193112,false,,,,,,,,,,,2020-08-13 00:00:00.000
3PL,3P LEARNING LIMITED..,3PLEARNING,3P LEARNING LTD,"Information technology, software & services.",Consumer Services,Consumer Discretionary,2014-07-09T00:00:00+1000,,http://www.3plearning.com,"Level 18, 124 Walker Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 850 331,NA,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,,3PL,false,"""shares""",02136659,2019-08-22T08:40:56+1000,2019-08-22T08:28:56+1000,http://www.asx.com.au/asxpdf/20190822/pdf/447qgb1plbpp56.pdf,Appendix 4E and FY2019 Annual Report,true,82,AU0000003PL9,Ordinary Fully Paid,1.095,1.075,1.1,1.075,0.035,3.302%,114499,1.095,1.115,1.06,-1.852%,1.165,2020-08-05T00:00:00+1000,0.6,2020-03-13T00:00:00+1100,2020-08-13T00:00:00+1000,73.1,0.0145,428449,0,147853220,139484170,152735000,139484170,false,XEC,,,,,,,,,,2020-08-13 00:00:00.000
4DS,4DS MEMORY LIMITED,4DSMEMORY,4DS MEMORY LIMITED,Creation of electronic memory storage.,Semiconductors & Semiconductor Equipment,Information Technology,2010-12-09T00:00:00+1100,,http://www.4dsmemory.com,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6377 8043,(08) 6377 8043,AUTOMIC REGISTRY SERVICES,"LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,false,,4DS,false,"""shares""",02164298,2019-10-25T17:58:47+1100,2019-10-25T17:53:09+1100,http://www.asx.com.au/asxpdf/20191025/pdf/449wywqlrf4t16.pdf,Annual Report to shareholders,false,68,AU0000004DS8,Ordinary Fully Paid,0.044,0.044,0.045,0.044,0.000,0%,792846,0.044,0.045,0.044,-2.222%,0.094,2019-10-03T00:00:00+1000,0.025,2020-03-24T00:00:00+1100,2020-08-13T00:00:00+1000,0,-0.0059,3040794,0,57626513,1309693486,57627000,1309693486,false,,,,,,,,,,,2020-08-13 00:00:00.000
4DX,4DMEDICAL LIMITED,4DMEDICAL,4DMEDICAL LIMITED,Medical imaging software and hardware provider,Class Pend,Class Pend,2020-08-07T00:00:00+1000,,https://4dmedical.com/,"Suite 501 Level 5, 468 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",+61 3 9545 5940,+61,LINK MARKET SERVICES LIMITED,"Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,false,https://www.asx.com.au/asx/1/image/logo/4DX?image_size=L&v=1596757183000,4DX,true,"""shares""",,,,,,,,AU0000095416,Ordinary Fully Paid,1.565,1.62,1.635,1.555,0.005,0.321%,1733689,1.555,1.57,1.56,-4.878%,1.93,2020-08-10T00:00:00+1000,1.25,2020-08-07T00:00:00+1000,2020-08-13T00:00:00+1000,0,0,14205442,0,413029353,264762406,258564000,165216313,false,,,,,,,,,,,2020-08-13 00:00:00.000
